KeV,CT Number
10,-998.8425476
15,-998.8377849
20,-998.8424702
30,-998.8652214
40,-998.8842044
50,-998.8956474
60,-998.9029565
80,-998.9100646
100,-998.912453
150,-998.9145693
200,-998.91577
300,-998.9161763
400,-998.91577
500,-998.9165535
600,-998.9164964
800,-998.9164593
1000,-998.9169284
1250,-998.9164749
1500,-998.9165237
2000,-998.915965
3000,-998.9130686
4000,-998.9099996
5000,-998.9065887
6000,-998.9031576
8000,-998.8964769
10000,-998.889765
15000,-998.8766064
20000,-998.8670637
