KeV,CT Number
10,-417.414149
15,-385.0268978
20,-333.8500494
30,-225.2795527
40,-151.6213194
50,-111.1282503
60,-89.21806702
80,-69.13445836
100,-60.57410662
150,-53.15614618
200,-51.38686131
300,-49.1989882
400,-49.10461828
500,-49.1173738
600,-49.04533274
800,-49.03369358
1000,-49.19400452
1250,-48.94828404
1500,-49.00938478
2000,-50.38445973
3000,-53.35097002
4000,-57.2583015
5000,-61.28340482
6000,-65.433213
8000,-73.85755455
10000,-81.68093736
15000,-97.96496651
20000,-110.2592388
