KeV,CT Number,
10,55.31994746,
15,62.55230126,
20,64.13661067,
30,57.54792332,
40,50.78270593,
50,46.76068753,
60,44.39048082,
80,41.99782254,
100,41.3884007,
150,40.93023256,
200,40.80291971,
300,41.14671164,
400,41.0933082,
500,40.35305048,
600,40.38633318,
800,40.38779402,
1000,40.34926471,
1250,40.36849597,
1500,40.32846715,
2000,40.2266289,
3000,39.94708995,
4000,39.50925654,
5000,39.26096998,
6000,39.00722022,
8000,37.8962536,
10000,37.22397476,
15000,35.93508501,
20000,34.36293436,
