KeV,CT Number
10,9.382623381
15,15.54094441
20,16.5513834
30,9.052183174
40,1.863585539
50,-2.203613927
60,-5.342399223
80,-7.621121394
100,-8.20152314
150,-8.637873754
200,-8.759124088
300,-9.274873524
400,-8.482563619
500,-9.187570971
600,-9.267530147
800,-9.154481882
1000,-9.332579186
1250,-9.172860984
1500,-9.210983664
2000,-9.510319709
3000,-9.57420005
4000,-9.991184249
5000,-10.22764764
6000,-10.46931408
8000,-11.52737752
10000,-11.71698963
15000,-13.39515714
20000,-14.34087148
